,variable,unit
0,Gender,0.23452742224877116
1,Race,0.48753609868942677
2,Ethnicity,0.2386062992124791
3,Region,1.6240343957174108
4,Age,0.9484194684902881
5,NSF,10.641121005102821
6,NF,0.4928046132905584
7,NSB,0.6228933627499098
8,GRPN,0.4203701853957193
9,GRDR,0.44019223308647176
10,DFDR,8.324352016037535
11,DDR,0.44757049689172795
12,FFPN,0.36821016417697616
13,FFDR,0.3267968758039092
14,RSPN,0.4966400242380383
15,TBPN,0.4954913076694814
16,RSDR,0.44847495711896446
17,TBDR,0.43999536104501086
18,CTS,0.590234653054556
19,CRS,0.5531756763680473
20,AF,0.21570699599635113
21,II,0.4307228818953402
22,IEDR,0.30532873397405386
23,CEFSFMN,0.4978624005562003
24,CEFI,0.4966824288180071
25,"CEFGEWOC,SOPD",0.48838265108975754
26,CVDD,0.46807738625883416
27,COJDNEC,0.4547177065188832
28,CEFOSEWOCSORD,0.41727539972408395
29,CLTCDT,0.4243030599030573
30,CD,0.41823581739444937
31,CPHOODAC,0.39475890951660114
32,CPDOBDAS,0.35712509315317686
33,CDOLMAOL,0.4999325145293144
34,CNWCPF,0.44175318834386357
35,CPHOMN,0.39560789537247704
36,CGERD,0.3832663894614742
37,CCATRP,0.47280522579153217
38,CN,0.4795673330801453
39,CSCP,0.4500797477863912
40,CADAMS,0.447570496891728
41,CF,0.38569460791993493
42,CC,0.3770284691037751
43,CMAST,0.37316710161044986
44,CBSP,0.3334414851977856
45,CAG,0.3494473727354765
46,CVV,0.304379477187481
47,RT1IDD,0.19375048533257003
48,ROI,0.03307704024215005
49,RRA,0.19023888114527354
50,RUCH,0.02701222535683668
51,RUCH1,0.19023888114527357
52,RUEM,0.05722826058099949
53,RPPFTH,0.2571484002774009
54,RST,0.3933330833022677
55,RCMOM,0.3402494090223462
56,RCLD,0.07620645856531434
57,RFHON,0.31000562672327503
58,RLCI,0.10745511289753722
59,RVDI,0.4995590969035469
60,RPHF,0.21948358328133094
61,RET,0.1415182070163472
62,RHO,0.12142856669601615
63,RED,0.05722826058099948
64,RI,0.0660451848047375
65,RRF,0.14396945861219654
66,COR,1.0949869362177054
